index	question	sentence	label
90	Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee	 	1
91	I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||	 	2
92	@bustedcoverage  but Russell is a good christian fella, he wouldn't do that.	 	1
93	Apparently my youth group thinks "Are you kidding me?" is my default expression--or "nomal face." #areyoukiddingme http://t.co/dBARs2XXTa	 	0
94	@jaymohr37  #PSA Hey Jay, I tuned in when u said "why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th	 	2
95	Interviewed a turkey & here's what he had to say http://t.co/8fTsTAoTa1 #Thanksgiving	 	0
96	Planned on an early night last night.. Oh yaa course that happened..  #gotinterupted	 	1
97	@MaggieWinter21 your last retweet though	 	3
98	2v4 S&D matches are just so fun...	 	1
99	i just loveee bein short and having my sweatpants go all the way under my feet its so fun... 💩	 	1
100	I love waking up at 8 am on a Saturday morning after going to bed at midnight	 	1
101	A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.	 	2
102	Jusuf Nurkic #Bulls RT @JonathanTjarks: He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott.	 	0
103	I don't even have progress on my thesis tas preparations for our event this thursday 😩	 	0
104	Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014	 	1
105	Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing	 	0
106	Had a nice 3 hour nap. Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @MyzzCryz I added water chestnuts to my dinner	 	0
107	@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.	 	0
108	I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys 😑😑😑. Way to go	 	1
109	Hell has frozen over. Literally. #Texas2015.	 	0
110	Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI	 	2
111	Its a marshmallow world in the winter 🎶 #getthisoutofmyhead	 	0
112	Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun	 	1
113	Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR	 	2
114	that is the face of a tired man hahahahah	 	0
115	We want turkey!!	 	1
116	@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word	 	0
117	Choose your words carefully hurting someone feelings is not the right way to go.	 	0
118	What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation	 	1
119	@MohammadFarooq_ Asalamoalekum... 😃 kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. 😇	 	0
120	Feeling artsy tonight. #artsy#homealone#vienna#studentlife @ b&e's apartment http://t.co/Ct85mmtf5H	 	0
121	showed mom this picture of me and @sopitlikeitshot & says "this is grunge" and she goes "haha!! I love it!" #momgoals http://t.co/LTe1NGODMk	 	0
122	@TharaAzzam explains why Inter went all Calciopoli over Juventus...	 	0
123	I pray God comes back in America and saves us all.	 	0
124	#Libby #Lane #appointment: #Women #bishops #debate  #over: The appointment of the Reverend Libby Lane as the... http://t.co/YOj9HVUa8n	 	0
125	Sad that when someone drinks they treat you like shit and won't talk to you.	 	0
126	We provide a structure that ensures you will successfully invest in real estate. http://t.co/vSLRBIOhyr @backofficeguru	 	0
127	@FoxNews Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war...and no one ever died under his watch.	 	0
128	Why am I sick? *looks at other tweets* oh yeah sex...  #lame	 	3
129	working a double on 2 hours of sleep here we go let's get it	 	1
130	For those of you that LOVE this time of year.  https://t.co/r6utbrXVrU	 	1
131	In other news i havent had a good nights sleep in a week. I feel great.	 	1
132	The pure #reality of . http://t.co/wokWEvDvrp	 	0
133	#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9	 	0
134	Happy 2nd anniversary to me in SGV. Happy OT here in client. Woohoo. I loooooove my job. Super. More years to go!!!!!!!!!	 	1
135	@Vh1Supersonic Cause of all the things in life this seems to be in #Balance. |Music- Medicine, @Vh1Supersonic - Doctor|#SuperDayLineUp	 	0
136	@HarrietBaldwin @OkieVision I guess that means MSM will dig something up to smear Barkley now.#Ferguson	 	0
137	Jimi Agbaje is a fine man...in respect to public service what notable landmark has he achieved?  Tested|Jimi... http://t.co/MCNlrZffAO	 	0
138	@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion  ;)	 	1
139	@DFDSUKUpdates why all the delays?  happy	 	0
140	The fun part about 4 am drives in the winter, is no one has cleaned the snow yet	 	1
141	I miss the days when all my close friends lived in the same city.	 	0
142	so it's claimed that 99% of all russian athletes take performance enhancing drugs. there is a surprise	 	1
143	@SQLSophist is that  ?	 	0
144	Shoutout to my mom for being hella supportive of me	 	1
145	@Sidra__PTI you may also see flags of ISIS with him  is this govt and ch nisar don't admit :'(	 	3
146	@JordanNoftall that's funny	 	1
147	Do you want more period related post or do you like how I post some personal things here on Instagram? http://t.co/VQWDOxB2RU	 	0
148	http://t.co/nKXYmio8V6 #AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk	 	0
149	@mmamania what time is the UFC press conference tomorrow with names of numerous fighters getting cut	 	3
150	#Terror on high Seas ...|Fishing boat, allegedly from #Pakistan, blows up at sea ...... http://t.co/V6G1zx2s4f	 	0
151	#what#matters#to#me#is#gym#holidays#work#the#hell#out http://t.co/HBofXwvQPe	 	0
152	I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it  😂	 	1
153	@baltimoresun Hate it. Go back to the old format please.	 	0
154	@nfullers98 its a week joke I have with Jessica and my niece🙌	 	0
155	@Moose_eBooks You seriously bought a giant TV to play in the box?	 	0
156	Haha who the fuck says that to someone#TrueGentlemen	 	1
157	If you don't want Hall to eventually ask for a trade then hope for consistency in the message. Change too much you might as well start over	 	0
158	@RobertH1946 @EverydaySexism wow. That  here though, sorry grandpa, we use mac these days #WelcomeToTheWorld #NeverArgueWithFools	 	0
159	@MyzzCryz I liked the first one. Never cared enough to watch the sequel(s?). That said, I will only watch the #reboot because of #ChrisPratt	 	0
160	#working.blues.enough.vacation.days http://t.co/zSTyQiRUt5	 	0
161	@PeterEgan6 The badger crusade continues.|"Gloucestershire badger patrols triggered by illegal trapping fears"|http://t.co/rF5aAmpC5n	 	0
162	@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...	 	0
163	Auntie just called and said shes on her way..|I better get dressed then 😲😂😂	 	0
164	Ahhh 7 a.m bedtimes, how I've missed you  #examproblems	 	1
165	Nerd #piccollage having a bit of fun with Georgia #nerd#chistmas #sillybilly @ chilling on my comfy... http://t.co/J3z63mwKHt	 	0
166	@mrjamieeast I think it was the hotel owners...	 	0
167	@SincerelyTumblr: One day I want to travel with my bestfriend 🌏✈️ http://t.co/AXD3Ax5qC1 DONE DID TRAVELED DA WORLD!! @Bethanycsmithh ❤️	 	0
168	@SouthamptonFC @LFC @SkySports Again fans come second. Thanks again	 	1
169	When you return in kind then so called friends label you as being unkind. :)	 	0
170	Sometimes i just dont understand anything|#stubborn http://t.co/nwhIEP4VWz	 	0
171	That was the cutest thing ever 😍😘	 	0
172	Oh how I love that my ass is too big to fit into my jeans anymore.  #bigbootybitches	 	1
173	@LifeCheating doesn't lucky and fortunate mean the same thing?	 	3
174	I enjoy stealing my husband hat every once in awhile 😍😘😳 #heyyall #GoodMorning http://t.co/LknoOm7VSb	 	0
175	@SPmilkshake @MikeRTrice @neiltyson His tweet in the context of his history is what makes it a clear bait.	 	0
176	Insanity is doing the same thing twice and expecting different results	 	0
177	3 hours sleep yay loving life	 	1
178	wow, look at you hotshot.  #isthatajoke	 	1
179	@dirtydeathdog Can't wait to play the #BFHardline Beta with you XD #Epic	 	0
180	Contemplating responding to @charliejnwalker's tweet saying "what remains of their pride" but not sure how well that will go down	 	3
181	Having to be up in four hours sounds great	 	1
182	OH and now the District line has major signal failures and delays FANTASTIC!!!	 	1
183	@ScottishFA @RaeComm @ChampionsLeague sure that will end well	 	1
184	Country music & photo editing, my type of morning ☀️🎶	 	0
185	LOL.. Micromax is promising that service?  http://t.co/AxG11utGOD	 	2
186	"Its so hard to choose between the pleasure and the pain " #Girl #December #Love #Dream  #Strong http://t.co/GZH8Oqft9y	 	0
187	@PowerTripKFAN Adrian was raised that way and he made it to the NFL. Maybe he thought that would motivate his kid to get there too?	 	1
188	She heard Him cry and His little fingers & toes were counted and Mary exclaimed "He's PERFECT!"  Oh Mary, you so cray cray.	 	1
189	My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup	 	1
190	Sexist article in the Daily Fail about men wasting money on cycling - accompanied by recommendation for a handbag costing £999.	 	2
191	@Justen_G you tweet about having a flip phone? Now that's the definition of	 	0
192	@G_Wade_TooFlyy yea we was we too only a couple schools played black & not its a black dominate game	 	2
193	Don't forget to join @midtown_1015 for #Steak Night tonight starting at 4pm! #nyc #food #foodie	 	0
194	@andreamarchant @tortugarouge I don't think I've ever seen Love Actually all the way through. I tried once last year. I don't remember it.	 	0
195	@lionhart32 @Dosta1 @BSButcher My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin.	 	0
196	#QZ8501 asks permission to #takeoff: #towercontrol of #Surubaya: yeah..y can go...away.	 	0
197	@RedFMIndia @SunburnFestival |Answer 2- More than 150 artists |#WinSunburnPasses	 	0
198	@michelledean @AVAETC not playing out in the provinces like, oh, Mississippi.	 	3
199	Church sign of the day: How would you feel if we celebrated your birthday without you? 🙊 #StoleEm #TheReasonForTheSeason	 	0
200	"@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier. " #MichiganMan	 	1
201	Did you know ? If you are reading this right now you are not blind...lol.	 	3
202	@Nettaaaaaaaa @deray yeah & we wont talk about how the bodies of the 2 cops killed in BK were ambulanced immediately. Elitism at its finest.	 	0
203	Love this weather	 	1
204	@MagicalBlondess Psssst. You spelt 'thing'  wrong ||	 	0
205	http://t.co/ZcHdGJZrhQ What Day is the Sabbath? #follow #Jesus #Christ #FBC #FBCJAX http://t.co/QhJfErumW1	 	0
206	 tough day in sun #kitsch#funny @ Costa Teguise Lanzarote http://t.co/3D5qjIyh0z	 	0
207	@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back 😭 😭|I would pay for it!!	 	0
208	I love 14 hour shifts  😩😩😩	 	1
209	The whole #Misogyny thing is hanging in there with Women from the right . A cat fight now ?, imagine pulling that on the left #pmlive	 	3
210	Yea, yea that's logical.	 	1
211	Over on CBS at noon is #BALvsMIA. FOX has #SEAvsPHI after the #Saints. #NFL	 	0
212	So Aaron sorkin goes on @todayshow  to talk about not liking the media talking about Sony hack? Using media to bitch about media?	 	2
213	you have no argument because you're insane|@RBRNetwork1 @Steven_Swenson @TheLexZane @SSGAngle @JoeHilgerman @DanMartin_cards	 	0
214	#FergusonRiotTips Remember, the only way ppl listen is if you burn down their stores||#Ferguson #VitoandVito #WAARMedia #tcot #ycot	 	2
215	My fingers smell like lavashak :)	 	0
216	#notcies #eu Juncker receives birthday surprise: One million signatures opposing TTIP and CETA http://t.co/f3knbTnus8	 	0
217	#Forever #Young, Forever  #Out, Forever in #our #hearts. |#RIP #PhillipJoelHughes. @vCricketAU @CricketAus	 	0
218	Last day in Naples with my Emma girl! 🌴☀#soeasytotakeapicwithatoddler  #19wksandcounting... http://t.co/Xb43RmsXAj	 	1
219	Say no more.... #bigclub  http://t.co/ALcQQsASsY	 	3
220	@MyzzCryz anytime! Cash is acceptable every where. And can be used toward whatever they want/need.	 	0
221	@steigerwaldino Nah, it's better we all act like the North Korean govt and police people's private thoughts.	 	1
222	@haugenma my 7-year-old got it for me! I think Macy's http://t.co/JriDbimgYg	 	0
223	Blowing your nose so hard your ears pop is the greatest way to start a Wednesday.	 	1
224	Today's court proceedings, allowing prisoners access to books in England & Wales, surely confirms it's time to limit judicial review.	 	2
225	Yay I love being awake at 5 in the morning 😀🔫	 	1
226	Off to a slow start this morning . 😩	 	0
227	@MatthewWRossi getting power from wind is so outdated and unsightly, we should be siphoning it directly from the sun by now.	 	1
228	Really looked forward to waking up this early for finals......	 	1
229	Oh how I love listening to Fox News in the background while opening presents.	 	1
230	Those bad Anonymous and Occupy people did it all because they support white supremacy	 	2
231	@Big6domino @CNN Well that's a completely well reasoned and thought out argument. You've changed my mind!!! #Ferguson	 	1
232	@badassbraeden Yeah no I'm still laughing. It's not even that funny and I'm still laughing	 	0
233	@bgracely @Horn_Chris gotta be a joke about tootin a Horn somewhere	 	0
234	Gotta go out with him and the third,forth,fifth...wheels.| #WinterThought	 	0
235	Cc: @JohnCropp My last tweet. Wayne's World is a great movie.	 	1
236	@nacholeber @SageRosenfels18 zero place for that. when the karma train finds Raiola, I hope it has a full head of steam	 	0
237	Earn cash by Posting & Tweeting! |http://t.co/2667mS1bHz ||Get started at http://t.co/GViBiZ4ZsH||#CashForContainers #homebasedbusiness #LOL	 	0
238	Oracle on Windows 2000. This should be fun!	 	1
239	last day of classes #trill except finals whoop	 	1
240	YOU blame him for everything else @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @DrPenisWrinkle @kusun0	 	0
241	With dropping oil prices, thank goodness #PMHarper has worked so hard trying to tie our economy to the oil & gas sector.  #cdnpoli	 	1
242	when singing along to songs in Korean and there is a part in English, I sing it with a Korean accent. WHY.	 	0
243	save your work folks. i'm offically cntrl-alt-deleting this week.	 	0
244	I'm glad Andy can tweet all day but not text me back.  #loved	 	1
245	: When some masseuses offer "soothing" massages the way reviewers offer stinging criticisms. #Masseuse=#Reviewer #Massage=#Criticism	 	2
246	@PdpNigeria#it shows you that APC is a free and fair party#run by intellectuals#and this is what we call democracy dictatorship#	 	0
247	@panndder @MyLittleBloggie @bloisolson How dare you accuse me of being a boomer.	 	0
248	Hungry and hungover  #a  #good #day	 	0
249	Oi na how am I functioning right now #sleepdeprived	 	0
250	@loveeallyy I literally do not know	 	0
251	@mahobili @DrAwab What does PTI do apart from whining?  #Youthiacrasy	 	3
252	True  http://t.co/38hrutRf0r	 	1
253	@eXoAnnihilator @roIIerCosta @KSIOlajidebt tells someone to spell correctly while completely fucking up his tweet	 	2
254	My solo costume so far is Charcoal Grey Bottoms.... making some real progress.	 	1
255	Pay Ghost Soldiers in Iraq & cut pay of US #Military.  #keepyourpromise @SenateDems @Senate_GOPs @thejointstaff http://t.co/353PkrO9yC	 	2
256	...but then it started itself and made the Windows noise. So starts this exciting day of mine...!	 	1
257	@sammiecurtis_ me and you are the only ones that love it 😆🎅🎉🎶	 	0
258	In need of a rose winee🍷🍷	 	0
259	Yesterday #PeshawarAttack was a top tag and today the only thing twitter nation seems to be concerned about is #PTIKeptPakFirst	 	2
260	My whole life is just "oh ok".	 	0
261	Leg snapped alike a twig and after I completed my front flip I screamed like a hungry newborn baby	 	0
262	#succes #it #is  #about #what #we #see #if #we just #keep #hope #and #never #give #up #success #is... http://t.co/bCjdQqzo1k	 	0
263	I can already tell today is going to be a wonderful day	 	1
264	@junior_miller @gordonkeith Junior got a rim shot for a 'rim job' joke.	 	2
265	Found out the reason that weekend closer makes my life miserable is because I'm atheist. #hypocrite #atheistproblems #serverproblems	 	0
266	Staying #casual #monday #funday  #ootd #fashion #style #allyouneedisstyle #todayimwearing http://t.co/tpuVqw7K4s	 	1
267	@QararaRasha so so problematic.. God bless her. It's a shame what've we done to pakistan. :(	 	0
268	#TortureReport trending; I wasn't aware J.K. Rowling released her new book.	 	3
269	@patevans @grbj Too Sad... LOCAL NOW!	 	1
270	@C_o_r_g_i wtf thanks for saying bye	 	1
271	Ahh gotta love those December electric bills.	 	1
272	 dead? Why is this stupidest of memes still perpetuated?	 	3
273	When someone with retrica wali picture complains about how many filters someone has used in their picture to look pretty..	 	2
274	Great, I've got a lung infection. This is fun. :/ | #notfun #miserable	 	1
275	Jeez it's a lovely morning out!! 💨💧💦 👎  #Ireland #December	 	1
276	@Jaee_ThaPrince I need a spot for my birthday	 	0
277	@Redsaint76 I don't think. I know!	 	0
278	I love when people leave their smelly shoes in my car. It makes my car smell great!	 	1
279	@sportstalksc what's the rush? His leg is still attached right?  #dr.dabo	 	2
280	50 mph winds make a great hair fan for a photo shoot. 😃	 	1
281	Gotta love working the day after Christmas  #smellya	 	1
282	Is "I have to go...my gelding is struggling with dystocia" a valid excuse...I just want to see the (lack of) reaction #whenyouseeit	 	1
283	.@ChipBrent I love the #gamergate concept of harassing and spamming porn at any critics as proof that you're not a hate group.	 	1
284	The thing I love the most about coming into work early? Having everyone ask me why I'm here so early. Gets me every time.  #annoying	 	1
285	Thanks @AirAsia, for nothing. All my family were flying with you from KL to attend my wedding. #everyonecanfly  #AdelaideRouteCancelled	 	1
286	@CNN9ja @bbgalad#he didn't know that before putting him there#they all reck our country#PDP clans do not deserve another day even months	 	0
287	@kennobish could do with someone making me a hot chocolate right now ahaha	 	0
288	me at restaurants: Is there wi-fi?|me at beach: Is there wi-fi?|me at family parties: Is there wi-fi?|me in hell: Is there wi-fi? #wifi	 	0
289	Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  🙈	 	1
290	Don't #text and #drive either. http://t.co/OXybfwwWb6 http://t.co/fgOCRS5kre http://t.co/fBpsjk6yyk	 	0
291	@JimHumbert @GotNewsDotCom Really?! Unbelievable! U mean he was a Thug & Criminal?	 	3
292	Always gonna be an uphill battle, sometimes I'm gonna have to lose.	 	0
293	Today I don't feel like doing anything|	 	3
294	http://t.co/TUqXSWNBuP In light of the #Murders of two NYPD Officers inspired by #IcantBreathe should... http://t.co/nMYE90O4in	 	0
295	@alewnes7 he def came out the closet on that AND 1 dunk #rudygay	 	0
296	People at my school only talk about sex and drugs. So awesome	 	1
297	Perfect time to get really sick  😫😷	 	1
298	@nelsonicolee funny	 	1
299	The #hardest thing's  #knowing & #having the #faith to #keep #going http://t.co/qMBU7EEag3	 	0
300	Bush 'fully informed' of CIA methods http://t.co/qRvvPVrjVh No?? Really?? Shocking...	 	1
301	Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.	 	0
302	I often worry that wealth doesn't  have enough influence in society, so pleased to see this being addressed  http://t.co/2U3PerpZQz	 	1
303	@TheView,@WhoopiGoldberg, women say 1 man asltd them, y so long 2 say sumtin? & the young 1s, where the parents? Hotel wit grn ass man? Smh	 	0
304	Some "new" vinyl on the turntable tonight. Here's to you Joe. @TheClash #JoeStrummer #Sandinista http://t.co/2N3ZjJZYQo	 	0
305	@maxsnape1 who you calling bottle job I'll take teeth. Yeah I'm game mate, at training tonight too, I'll remember your hat	 	3
306	To all those who held back in #2014 start again in #2015 as.. "@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE"	 	0
307	i'm so funny	 	1
308	Song of the Day: "Love Like Winter" - A Fire Inside.	 	0
309	Thank you OCC for being concerned enough about my safety driving to school to cancel classes....	 	1
310	Oh sprints I love you  http://t.co/sEW8Im7i0u	 	1
